Column 1,Column 2
10000,-0.984807753
20000,-0.342020143
30000,0.866025404
40000,0.64278761
50000,-0.64278761
60000,-0.866025404
70000,0.342020143
80000,0.984807753
90000,6.66403E-14
100000,-0.984807753
110000,-0.342020143
120000,0.866025404
130000,0.64278761
140000,-0.64278761
150000,-0.866025404
160000,0.342020143
170000,0.984807753
180000,1.33281E-13
190000,-0.98480775
200000,-0.342020143
210000,0.866025404
220000,0.64278761
230000,-0.64278761
240000,-0.866025404
250000,0.342020143
260000,0.984807753
270000,-2.54827E-13
280000,-0.984807753
290000,-0.342020143
300000,0.866025404
310000,0.64278761
320000,-0.64278761
330000,-0.866025404
340000,0.342020143
350000,0.98480775
360000,2.66561E-13
370000,-0.98480775
380000,-0.342020143
390000,0.866025404
400000,0.64278761
410000,-0.64278761
420000,-0.866025404
430000,0.34202014
440000,0.984807753
